Date,SSO,UPRO,SPXL,SH,SDS,SPXS,QLD,TQQQ,PSQ,QID,SQQQ,MVV,MYY,MZZ,UWM,TNA,RWM,TWM,TZA,URE,REK,UPW,SDP,SOXL,SOXS,EFO,EFZ,EFU,EET,EUM,EEV,UST,TYD,TBX,PST,TYO,UBT,TMF,TBF,TBT,TMV,UGL,GLL,UVXY,VIXY,TLT,BSV
1986-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69264,,,,,,,,10.60536,
1986-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68808,,,,,,,,10.58416,
1986-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70836,,,,,,,,10.69020,
1986-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70374,,,,,,,,10.66900,
1986-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70753,,,,,,,,10.69020,
1986-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71765,,,,,,,,10.74324,
1986-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68960,,,,,,,,10.60536,
1986-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68567,,,,,,,,10.58729,
1986-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68528,,,,,,,,10.58729,
1986-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65804,,,,,,,,10.44911,
1986-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66167,,,,,,,,10.47037,
1986-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65724,,,,,,,,10.44911,
1986-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65083,,,,,,,,10.41722,
1986-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67835,,,,,,,,10.56604,
1986-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66771,,,,,,,,10.51288,
1986-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65923,,,,,,,,10.47037,
1986-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65684,,,,,,,,10.45974,
1986-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66247,,,,,,,,10.49162,
1986-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67215,,,,,,,,10.54477,
1986-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70022,,,,,,,,10.69359,
1986-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69982,,,,,,,,10.69359,
1986-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69315,,,,,,,,10.66171,
1986-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68031,,,,,,,,10.59793,
1986-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69016,,,,,,,,10.65108,
1986-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70215,,,,,,,,10.71485,
1986-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71011,,,,,,,,10.75738,
1986-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71390,,,,,,,,10.77863,
1986-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71561,,,,,,,,10.78926,
1986-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72365,,,,,,,,10.83178,
1986-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74248,,,,,,,,10.92802,
1986-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74204,,,,,,,,10.92802,
1986-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74160,,,,,,,,10.92802,
